72722NDVIs,Slope,Insolation,DEM,TWI
0.3111099005,2.6847951412,15.509983063,187.41130066,7.52656937
0.1179323643,23.65080452,9.7504997253,228.42886353,1.91700935
0.0921494737,31.158174515,9.63073349,227.90847778,1.80439091
0.0989049524,19.067663193,10.625498772,226.48638916,2.0883348
0.1177360266,26.28717804,12.119821548,225.48750305,1.91833425
0.1596125811,28.229129791,11.755264282,223.10714722,2.18160939
0.21459198,44.694755554,13.119597435,217.62690735,2.24454188
0.2509784699,19.482995987,13.593798637,211.72929382,2.83855629
0.260384202,18.600378036,13.218577385,210.06768799,2.72955918
0.2769220471,20.222322464,12.990024567,208.87165833,2.46794939
0.316596061,18.585849762,13.989583015,206.45365906,3.21609139
0.362924248,10.382285118,13.240016937,205.73200989,3.87339783
0.3672380149,8.7401618958,13.000217438,205.59222412,4.20433617
0.3372173011,9.0995979309,13.000256538,206.49401855,3.23424435
0.3063924611,8.8425292969,14.265024185,206.400177,3.27759123
0.2732570767,11.96422863,13.369824409,205.85128784,4.00079012
0.2413258702,27.556985855,10.96350956,207.81338501,2.45946884
0.1967255473,21.165290833,13.161808968,211.56097412,2.41770697
0.1945901811,19.22883606,14.640419006,211.03436279,2.60214305
0.2337302417,35.622306824,13.600057602,206.42459106,2.49569201
0.2559338808,30.387277603,13.635619164,199.50340271,2.59450006
0.2708417177,14.75976944,15.479603767,195.28903198,3.04361629
0.2907421887,3.5369110107,15.385658264,194.15312195,4.61234236
0.3190817833,1.2001259327,16.499567032,193.93525696,5.34839582
